0049 01674 1|H|039.65311086|+03.44338599|   34.9|    7.9| 36.8| 24.6|  1.2|  1.2|H|      |     |10.511|0.130|  9|T| 12318B
0060 00524 1|H|050.91244023|+04.88238365|   -6.8|   -2.6| 14.2| 14.3|  1.0|  0.9|H|      |     | 9.894|0.056| 10|T| 15807B
0061 00696 1|H|045.67669566|+07.06657711|    2.0|    2.7| 40.6| 26.1|  3.2|  2.9|H|      |     |12.708|0.115|  8|T| 14169B
0074 01540 1|H|062.81971357|+02.31566118|  -31.1|  -19.3| 17.7| 11.3|  2.4|  2.0|H|      |     |11.628|0.044|  9|T| 19552B
0105 01212 1|H|080.65604220|+02.60325444|   96.4| -175.8| 21.8| 16.8| 16.7| 13.8|H|      |     |10.774|0.060| 10|T| 25119B
0118 01793 1|H|084.17409954|+02.68657337|    1.7|    2.1| 24.3| 12.9|  2.0|  0.8|H|      |     |11.746|0.049| 10|T| 26353B
0193 00775 1|H|119.18584777|+07.35751756|   -7.2|  -13.1| 22.0| 20.5|  1.7|  1.5|H|      |     |11.226|0.086|  9|T| 38823B
0235 02368 1|H|144.41941201|+01.69613835| -107.1|   24.9| 54.6| 24.1|  1.6|  0.8|H|      |     |11.069|0.117|  8|T| 47237B
0257 00504 1|H|161.13928226|+04.03407036|  -43.5|  -14.9| 23.3| 19.4|  1.8|  1.8|H|      |     |11.820|0.065|  9|T| 52542B
0323 00285 1|H|212.63863705|+05.47225039|  -24.6|   13.9| 26.4| 19.8|  2.2|  1.7|H|      |     |12.317|0.121|  9|T| 69245B
0403 01236 1|H|257.74852891|+03.03862639|   -9.3|   -2.8| 11.6| 10.3|  2.1|  1.8|H|      |     |11.541|0.036|  9|T| 84052B
0524 01596 1|H|311.36649867|+05.88156054|   91.0|  -96.7| 72.9| 56.4|  1.8|  1.1|H|      |     |11.406|0.211|  8|T|102439B
0609 01105 1|H|007.67862634|+13.65313181|   50.6|  -76.5| 44.5| 35.6|  2.4|  1.5|H|      |     |12.755|0.144| 10|T|  2411B
0646 00051 1|H|041.26026998|+14.23752689|  -27.7|  -33.6| 26.4| 29.6|  1.8|  1.5|H|      |     |10.648|0.050|  9|T| 12838B
0818 00958 1|H|135.51007885|+14.59890806|  -28.1|  -15.8| 37.9| 19.3|  2.3|  1.5|H|      |     |11.606|0.106| 10|T| 44361B
0827 00623 1|H|144.76605920|+14.42222161|   -1.4|   -6.8| 46.5| 14.9|  2.5|  1.4|H|      |     |11.426|0.069|  9|T| 47368B
0840 00041 1|H|153.58697118|+12.11191562|   -7.6|   -4.4| 71.4| 53.6|  2.6|  1.9|H|      |     |13.356|0.331|  9|T| 50159B
0855 00120 1|H|169.28867745|+07.74529268|  -10.0|    1.6| 20.1| 20.9|  2.2|  1.9|H|      |     |12.505|0.062|  9|T| 55122B
0859 00116 1|H|173.54112244|+11.02380657|   36.9|  -22.8| 16.8| 10.0|  1.2|  0.9|H|      |     | 9.440|0.042|  9|T| 56429B
0862 00655 1|H|171.06568731|+13.90219092|  -95.2|  -30.0| 22.3| 12.3|  2.2|  1.4|H|      |     |11.298|0.072| 10|T| 55661B
0958 00289 1|H|244.19222201|+14.79063576|  -54.8|  -34.4| 16.9| 12.3|  1.8|  1.4|H|      |     |11.227|0.071| 10|T| 79764B
1009 01609 1|H|272.65610642|+07.63526439|   -2.7|    8.8| 24.9| 25.9|  1.1|  1.1|H|      |     |10.994|0.136|  9|T| 89059B
1207 00660 1|H|030.29049356|+16.56518563|  -43.0|  -25.6| 33.0| 38.5|  1.7|  1.3|H|      |     |11.232|0.108|  8|T|  9434B
1223 01361 1|H|040.95449756|+16.10440841|   23.5|  -83.3| 14.7| 10.4|  1.7|  1.2|H|      |     |11.317|0.046| 10|T| 12742B
1325 01651 1|H|091.02383486|+21.49438785|    3.3|  -16.1| 27.0| 15.9|  1.3|  0.8|H|      |     |11.470|0.071|  8|T| 28728B
1397 01516 1|H|133.56144415|+19.57576704|   11.2|  -27.4| 72.5| 46.4|  2.0|  1.4|H|      |     |12.181|0.240|  9|T| 43722B
1406 01241 1|H|141.51102818|+18.90052195|   -3.8|  -17.2| 25.7| 15.4|  1.6|  0.9|H|      |     |11.830|0.069|  9|T| 46272B
1411 00360 1|H|147.49138423|+16.56004441|  -47.1|   16.9| 20.3|  8.5|  2.9|  1.2|H|      |     |10.898|0.055| 10|T| 48226B
1413 00111 1|H|144.10848273|+18.92850661|  -10.8|    0.0| 16.5|  9.2|  1.8|  1.0|H|      |     |11.363|0.054|  9|T| 47148B
1443 01353 1|H|176.86854592|+20.03353716|    1.7|   30.0|  9.9|  6.5|  1.2|  0.9|H|      |     |10.235|0.034|  9|T| 57529C
1456 00692 1|H|196.56408194|+20.72886339|  -65.6|   67.2| 26.9| 19.0| 17.7| 11.9|H|      |     |12.109|0.065|  9|T| 63942B
1462 00781 1|H|203.97552837|+18.97309258|    7.7|    4.0| 47.0| 31.8|  3.1|  2.1|H|      |     |12.964|0.128| 10|T| 66348B
1575 01115 1|H|273.60322059|+19.87925723|    5.9|   -4.8| 35.9| 39.4|  1.0|  1.1|H|      |     |12.226|0.165|  9|T| 89383B
1612 00325 1|H|291.83677578|+20.66911035|    4.3|   -6.1| 15.5| 14.1|  1.6|  2.3|H|      |     |11.011|0.086|  8|T| 95646B
1613 00781 1|H|293.88285784|+20.82217101|    3.2|   -6.5| 13.6| 17.8|  1.0|  1.2|H|      |     |11.319|0.051|  8|T| 96360B
1630 00074 1|H|303.69498217|+21.97554786|   19.5|   -2.3| 24.5| 26.3|  1.3|  1.0|H|      |     |10.489|0.083| 10|T| 99788B
1747 00590 1|H|017.32216520|+24.45893571|  -11.9|   -5.8| 18.9| 12.9|  1.7|  0.9|H|      |     |11.421|0.051|  9|T|  5427B
1902 01723 1|H|103.80689852|+27.35295779|   -3.6|    4.0| 36.8| 22.7|  2.6|  1.6|H|      |     |11.737|0.105|  9|T| 33268B
1946 01150 1|H|131.51614171|+25.35329471|  -14.1|  -22.9| 37.9| 13.5|  1.5|  1.1|H|      |     |11.517|0.071|  8|T| 43028B
1949 00573 1|H|131.38812655|+29.26775312|   -4.7|   -0.4| 32.0| 22.7|  2.0|  1.4|H|      |     |11.772|0.129| 10|T| 42978B
1958 00250 1|H|142.04410604|+28.18957743|   -3.3|   14.8| 19.8| 10.3|  1.8|  0.9|H|      |     |11.846|0.065| 10|T| 46433B
1984 01934 1|H|174.80768812|+26.66047607|  -35.4|   28.4| 41.5| 27.5|  5.2|  3.1|H|      |     |13.015|0.097|  9|T| 56843B
2006 00044 1|H|210.71720414|+24.56163316|  -15.3| -126.3| 79.0| 57.1|  1.2|  0.9|H|      |     |12.068|0.164|  9|T| 68628B
2065 00752 1|H|258.02733737|+25.24918209|   -6.6|   78.8| 12.6| 16.5|  0.9|  1.2|H|      |     |11.485|0.056|  9|T| 84138B
2083 01975 1|H|262.01221328|+27.66903311|  -24.6|   19.6| 21.5| 29.4|  0.9|  1.1|H|      |     |11.507|0.100|  9|T| 85475B
2117 01991 1|H|283.11428110|+26.53469690|  111.7|  156.9| 47.7| 68.7|  1.1|  1.4|H|      |     |12.119|0.201| 10|T| 92631B
2149 00601 1|H|299.85488501|+26.59253540|   -1.2|    3.7| 17.9| 16.6|  1.5|  1.7|H|      |     |11.863|0.064| 10|T| 98390B
